case_id,activity,start_time,end_time,resource
1,Cancel application,2025-01-02 09:40:06.927193+00:00,2025-01-02 09:40:06.927192+00:00,2025-01-02 09:49:20.517772+00:00,Clerk-000006
0,Cancel application,2025-01-02 09:43:06.679711+00:00,2025-01-02 09:43:06.679711+00:00,2025-01-02 09:44:18.627360+00:00,Clerk-000004
13,Check credit history,2025-01-02 09:48:15.996815+00:00,2025-01-02 09:48:15.996815+00:00,2025-01-02 10:02:11.383072+00:00,Loan Officer-000001
5,AML check,2025-01-02 09:48:27.378476+00:00,2025-01-02 09:48:27.378476+00:00,2025-01-02 09:48:50.754830+00:00,Clerk-000002
5,Assess loan risk,2025-01-02 09:48:50.754830+00:00,2025-01-02 09:48:50.754830+00:00,2025-01-02 09:51:47.634460+00:00,Senior Officer-000002
5,Design loan offer,2025-01-02 09:51:47.634460+00:00,2025-01-02 09:51:47.634460+00:00,2025-01-02 10:00:14.143024+00:00,Clerk-000008
7,Assess loan risk,2025-01-02 09:52:33.518102+00:00,2025-01-02 09:52:33.518102+00:00,2025-01-02 10:09:25.712702+00:00,Appraiser-000002
14,Check application form completeness,2025-01-02 10:00:00.000000+00:00,2025-01-02 10:00:00.000000+00:00,2025-01-02 10:01:06.114944+00:00,Clerk-000007
5,Approve loan offer,2025-01-02 10:00:14.143024+00:00,2025-01-02 10:00:14.143024+00:00,2025-01-02 10:02:25.053608+00:00,AML Investigator-000001
14,Check credit history,2025-01-02 10:01:06.114944+00:00,2025-01-02 10:01:06.114944+00:00,2025-01-02 10:10:48.120977+00:00,AML Investigator-000002
13,AML check,2025-01-02 10:02:11.383072+00:00,2025-01-02 10:02:11.383072+00:00,2025-01-02 10:02:29.081178+00:00,Loan Officer-000002
5,Approve application,2025-01-02 10:02:25.053608+00:00,2025-01-02 10:02:25.053609+00:00,2025-01-02 10:02:59.194125+00:00,Loan Officer-000004
13,Assess loan risk,2025-01-02 10:02:29.081178+00:00,2025-01-02 10:02:29.081178+00:00,2025-01-02 10:16:55.845100+00:00,Clerk-000005
7,Reject application,2025-01-02 10:09:25.712702+00:00,2025-01-02 10:09:25.712703+00:00,2025-01-02 10:16:00.547110+00:00,Loan Officer-000003
12,Assess loan risk,2025-01-02 10:09:30.746721+00:00,2025-01-02 10:09:30.746721+00:00,2025-01-02 10:11:17.577057+00:00,Clerk-000003
14,Appraise property,2025-01-02 10:10:48.120977+00:00,2025-01-02 10:10:48.120977+00:00,2025-01-02 10:17:56.418371+00:00,Clerk-000004
12,Design loan offer,2025-01-02 10:11:17.577057+00:00,2025-01-02 10:11:17.577057+00:00,2025-01-02 10:17:31.761502+00:00,Clerk-000001
13,Reject application,2025-01-02 10:16:55.851571+00:00,2025-01-02 10:16:55.851572+00:00,2025-01-02 10:26:41.969472+00:00,Senior Officer-000001
12,Approve loan offer,2025-01-02 10:17:31.761502+00:00,2025-01-02 10:17:31.761502+00:00,2025-01-02 10:24:02.498451+00:00,Clerk-000002
14,Assess loan risk,2025-01-02 10:17:56.418371+00:00,2025-01-02 10:17:56.418371+00:00,2025-01-02 10:33:42.256662+00:00,Clerk-000006
12,Cancel application,2025-01-02 10:25:53.642319+00:00,2025-01-02 10:25:53.642319+00:00,2025-01-02 10:29:26.009672+00:00,Senior Officer-000002
15,Check application form completeness,2025-01-02 10:30:00.150236+00:00,2025-01-02 10:30:00.150236+00:00,2025-01-02 10:30:06.177557+00:00,Appraiser-000001
15,Check credit history,2025-01-02 10:30:06.177557+00:00,2025-01-02 10:30:06.177557+00:00,2025-01-02 10:31:53.424953+00:00,Clerk-000008
15,Appraise property,2025-01-02 10:31:53.424953+00:00,2025-01-02 10:31:53.424953+00:00,2025-01-02 10:33:12.243303+00:00,Clerk-000007
15,Assess loan risk,2025-01-02 10:33:12.243303+00:00,2025-01-02 10:33:12.243303+00:00,2025-01-02 10:45:36.108001+00:00,Loan Officer-000001
14,Design loan offer,2025-01-02 10:33:42.256662+00:00,2025-01-02 10:33:42.256662+00:00,2025-01-02 10:33:43.551618+00:00,AML Investigator-000001
14,Approve loan offer,2025-01-02 10:33:43.551618+00:00,2025-01-02 10:33:43.551618+00:00,2025-01-02 10:48:16.107115+00:00,Loan Officer-000002
15,Design loan offer,2025-01-02 10:45:36.108001+00:00,2025-01-02 10:45:36.108001+00:00,2025-01-02 11:12:52.389566+00:00,Loan Officer-000004
15,Approve loan offer,2025-01-02 11:12:52.389566+00:00,2025-01-02 11:12:52.389566+00:00,2025-01-02 11:15:43.069681+00:00,Appraiser-000002
15,Cancel application,2025-01-02 11:15:43.069681+00:00,2025-01-02 11:15:43.069681+00:00,2025-01-02 11:21:14.214824+00:00,Applicant-000001
4,Approve application,2025-01-02 11:18:16.727990+00:00,2025-01-02 11:18:16.727990+00:00,2025-01-02 11:25:08.611551+00:00,AML Investigator-000002
16,Check application form completeness,2025-01-02 11:28:05.176192+00:00,2025-01-02 11:28:05.176192+00:00,2025-01-02 11:51:38.922589+00:00,Clerk-000003
17,Check application form completeness,2025-01-02 11:30:00.000000+00:00,2025-01-02 11:30:00.000000+00:00,2025-01-02 11:41:22.041369+00:00,Loan Officer-000003
17,Check credit history,2025-01-02 11:41:22.041369+00:00,2025-01-02 11:41:22.041369+00:00,2025-01-02 11:53:28.607382+00:00,Clerk-000005
16,Check credit history,2025-01-02 11:51:38.922589+00:00,2025-01-02 11:51:38.922589+00:00,2025-01-02 12:17:15.882035+00:00,Clerk-000001
17,Appraise property,2025-01-02 11:53:28.607382+00:00,2025-01-02 11:53:28.607382+00:00,2025-01-02 11:59:10.353693+00:00,Clerk-000004
17,Assess loan risk,2025-01-02 11:59:10.353693+00:00,2025-01-02 11:59:10.353693+00:00,2025-01-02 12:00:59.998209+00:00,Clerk-000002
18,Check application form completeness,2025-01-02 12:00:00.000000+00:00,2025-01-02 12:00:00.000000+00:00,2025-01-02 12:01:00.799917+00:00,Senior Officer-000001
17,Design loan offer,2025-01-02 12:00:59.998209+00:00,2025-01-02 12:00:59.998209+00:00,2025-01-02 12:04:06.113987+00:00,Senior Officer-000002
18,Check credit history,2025-01-02 12:01:00.799917+00:00,2025-01-02 12:01:00.799917+00:00,2025-01-02 12:06:29.951585+00:00,Appraiser-000001
17,Approve loan offer,2025-01-02 12:04:06.113987+00:00,2025-01-02 12:04:06.113987+00:00,2025-01-02 12:17:11.969271+00:00,Clerk-000008
18,Appraise property,2025-01-02 12:06:29.951585+00:00,2025-01-02 12:06:29.951585+00:00,2025-01-02 12:13:54.682363+00:00,Clerk-000007
18,Assess loan risk,2025-01-02 12:13:54.682363+00:00,2025-01-02 12:13:54.682363+00:00,2025-01-02 12:16:38.039656+00:00,Clerk-000006
16,AML check,2025-01-02 12:17:15.882035+00:00,2025-01-02 12:17:15.882035+00:00,2025-01-02 12:19:04.569898+00:00,AML Investigator-000001
16,Assess loan risk,2025-01-02 12:19:04.569898+00:00,2025-01-02 12:19:04.569898+00:00,2025-01-02 12:32:29.502161+00:00,Loan Officer-000001
16,Design loan offer,2025-01-02 12:32:29.502161+00:00,2025-01-02 12:32:29.502161+00:00,2025-01-02 12:33:18.522433+00:00,Loan Officer-000002
16,Approve loan offer,2025-01-02 12:33:18.522433+00:00,2025-01-02 12:33:18.522433+00:00,2025-01-02 13:21:16.182845+00:00,Loan Officer-000004
17,Cancel application,2025-01-02 12:54:11.838410+00:00,2025-01-02 13:12:00.000000+00:00,2025-01-02 13:18:00.381496+00:00,Appraiser-000002
18,Reject application,2025-01-02 12:58:15.752353+00:00,2025-01-02 13:12:00.000000+00:00,2025-01-02 13:16:05.309416+00:00,Applicant-000001
20,Check application form completeness,2025-01-02 13:00:02.859543+00:00,2025-01-02 13:12:00.000000+00:00,2025-01-02 13:14:33.235120+00:00,AML Investigator-000002
20,Check credit history,2025-01-02 13:14:33.235120+00:00,2025-01-02 13:14:33.235120+00:00,2025-01-02 13:14:49.820289+00:00,Loan Officer-000003
20,AML check,2025-01-02 13:14:49.820289+00:00,2025-01-02 13:14:49.820289+00:00,2025-01-02 13:42:18.959994+00:00,Clerk-000003
16,Cancel application,2025-01-02 13:21:16.198160+00:00,2025-01-02 13:21:16.198160+00:00,2025-01-02 13:23:27.785980+00:00,Clerk-000005
21,Check application form completeness,2025-01-02 13:32:31.913125+00:00,2025-01-02 13:32:31.913125+00:00,2025-01-02 13:58:15.384083+00:00,Clerk-000004
11,Check application form completeness,2025-01-02 13:32:40.863049+00:00,2025-01-02 13:32:40.863049+00:00,2025-01-02 14:56:35.039680+00:00,Clerk-000002
20,Assess loan risk,2025-01-02 13:42:18.959994+00:00,2025-01-02 13:42:18.959994+00:00,2025-01-02 13:46:14.172541+00:00,Senior Officer-000001
20,Reject application,2025-01-02 13:46:14.172541+00:00,2025-01-02 13:46:14.172541+00:00,2025-01-02 13:51:36.432398+00:00,Senior Officer-000002
21,Check credit history,2025-01-02 13:58:15.384083+00:00,2025-01-02 13:58:15.384083+00:00,2025-01-02 14:24:59.382065+00:00,Appraiser-000001
22,Check application form completeness,2025-01-02 14:07:32.011160+00:00,2025-01-02 14:24:00.000000+00:00,2025-01-02 14:31:17.587883+00:00,Clerk-000007
21,AML check,2025-01-02 14:24:59.382065+00:00,2025-01-02 14:24:59.382065+00:00,2025-01-02 14:41:16.436554+00:00,Clerk-000006
23,Check application form completeness,2025-01-02 14:30:00.001508+00:00,2025-01-02 14:30:00.001508+00:00,2025-01-02 14:43:43.835165+00:00,Clerk-000008
22,Check credit history,2025-01-02 14:31:17.587883+00:00,2025-01-02 14:31:17.587883+00:00,2025-01-02 14:37:31.732200+00:00,Clerk-000001
22,Appraise property,2025-01-02 14:37:31.732200+00:00,2025-01-02 14:37:31.732200+00:00,2025-01-02 14:38:30.541161+00:00,AML Investigator-000001
22,Assess loan risk,2025-01-02 14:38:30.541161+00:00,2025-01-02 14:38:30.541161+00:00,2025-01-02 14:51:58.474844+00:00,Loan Officer-000001
21,Assess loan risk,2025-01-02 14:41:16.436554+00:00,2025-01-02 14:41:16.436554+00:00,2025-01-03 07:48:30.641296+00:00,Loan Officer-000002
23,Check credit history,2025-01-02 14:43:43.835165+00:00,2025-01-02 14:43:43.835165+00:00,2025-01-02 14:44:46.464230+00:00,AML Investigator-000002
23,AML check,2025-01-02 14:44:46.464230+00:00,2025-01-02 14:44:46.464230+00:00,2025-01-03 07:48:00.116008+00:00,Loan Officer-000003
22,Design loan offer,2025-01-02 14:51:58.474844+00:00,2025-01-02 14:51:58.474844+00:00,2025-01-02 14:52:00.782228+00:00,Applicant-000001
22,Approve loan offer,2025-01-02 14:52:00.782228+00:00,2025-01-02 14:52:00.782228+00:00,2025-01-02 14:54:54.399379+00:00,Appraiser-000002
22,Approve application,2025-01-02 14:54:54.399379+00:00,2025-01-02 14:54:54.399379+00:00,2025-01-02 14:59:54.883566+00:00,Loan Officer-000004
11,Check credit history,2025-01-02 14:56:35.039680+00:00,2025-01-02 14:56:35.039680+00:00,2025-01-02 14:59:12.301627+00:00,Clerk-000005
11,AML check,2025-01-02 14:59:12.301627+00:00,2025-01-02 14:59:12.301627+00:00,2025-01-03 09:19:06.975207+00:00,Clerk-000003
24,Check application form completeness,2025-01-02 15:00:00.465137+00:00,2025-01-03 07:48:00.000000+00:00,2025-01-03 09:07:23.760148+00:00,Senior Officer-000001
25,Check application form completeness,2025-01-02 15:30:00.000000+00:00,2025-01-03 07:48:00.000000+00:00,2025-01-03 07:48:13.808448+00:00,Senior Officer-000002
8,Check application form completeness,2025-01-02 17:07:29.234210+00:00,2025-01-03 07:48:00.000000+00:00,2025-01-03 07:54:17.090735+00:00,Clerk-000004
14,Cancel application,2025-01-02 18:33:45.886160+00:00,2025-01-03 07:48:00.000000+00:00,2025-01-03 07:55:40.457481+00:00,Appraiser-000001
19,Check application form completeness,2025-01-02 22:08:22.450928+00:00,2025-01-03 07:48:00.000000+00:00,2025-01-03 07:49:50.496081+00:00,Clerk-000007
26,Check application form completeness,2025-01-03 07:00:10.584069+00:00,2025-01-03 07:48:00.000000+00:00,2025-01-03 07:48:00.000472+00:00,Clerk-000001
26,Check credit history,2025-01-03 07:48:00.000472+00:00,2025-01-03 07:48:00.000472+00:00,2025-01-03 09:11:37.401260+00:00,AML Investigator-000001
23,Assess loan risk,2025-01-03 07:48:00.116008+00:00,2025-01-03 07:48:00.116008+00:00,2025-01-03 09:03:02.338198+00:00,Clerk-000006
25,Return application back to applicant,2025-01-03 07:48:13.808448+00:00,2025-01-03 07:48:13.808448+00:00,2025-01-03 07:51:24.895307+00:00,Clerk-000008
21,Reject application,2025-01-03 07:48:32.538237+00:00,2025-01-03 07:48:32.538237+00:00,2025-01-03 07:58:55.864076+00:00,AML Investigator-000002
19,Check credit history,2025-01-03 07:49:50.496081+00:00,2025-01-03 07:49:50.496081+00:00,2025-01-03 07:51:56.813668+00:00,Loan Officer-000001
25,Applicant completes form,2025-01-03 07:51:24.895307+00:00,2025-01-03 07:51:24.895307+00:00,2025-01-03 07:52:50.957325+00:00,Applicant-000001
27,Check application form completeness,2025-01-03 07:51:35.930405+00:00,2025-01-03 07:51:35.930405+00:00,2025-01-03 07:51:47.921822+00:00,Appraiser-000002
27,Check credit history,2025-01-03 07:51:47.921822+00:00,2025-01-03 07:51:47.921822+00:00,2025-01-03 07:57:58.312501+00:00,Clerk-000002
19,AML check,2025-01-03 07:51:56.813668+00:00,2025-01-03 07:51:56.813668+00:00,2025-01-03 07:52:33.151251+00:00,Clerk-000005
19,Assess loan risk,2025-01-03 07:52:33.151251+00:00,2025-01-03 07:52:33.151251+00:00,2025-01-03 09:10:24.888659+00:00,Loan Officer-000004
25,Check application form completeness,2025-01-03 07:52:50.957470+00:00,2025-01-03 07:52:50.957470+00:00,2025-01-03 07:52:51.709432+00:00,Clerk-000001
25,Check credit history,2025-01-03 07:52:51.709432+00:00,2025-01-03 07:52:51.709432+00:00,2025-01-03 09:00:12.465986+00:00,Loan Officer-000003
8,Check credit history,2025-01-03 07:54:17.090735+00:00,2025-01-03 07:54:17.090735+00:00,2025-01-03 10:00:51.760024+00:00,Senior Officer-000002
27,Appraise property,2025-01-03 07:57:58.312501+00:00,2025-01-03 07:57:58.312501+00:00,2025-01-03 09:21:02.586610+00:00,Loan Officer-000002
28,Check application form completeness,2025-01-03 08:00:00.000000+00:00,2025-01-03 08:00:00.000000+00:00,2025-01-03 09:00:14.033752+00:00,Clerk-000007
29,Check application form completeness,2025-01-03 08:30:00.016649+00:00,2025-01-03 09:00:00.000000+00:00,2025-01-03 09:18:48.334433+00:00,Clerk-000008
30,Check application form completeness,2025-01-03 09:00:00.005127+00:00,2025-01-03 09:00:00.005127+00:00,2025-01-03 09:01:19.587560+00:00,Appraiser-000002
25,AML check,2025-01-03 09:00:12.465986+00:00,2025-01-03 09:00:12.465986+00:00,2025-01-03 09:00:22.160211+00:00,Loan Officer-000001
28,Check credit history,2025-01-03 09:00:14.033752+00:00,2025-01-03 09:00:14.033752+00:00,2025-01-03 09:05:19.342867+00:00,Clerk-000005
25,Assess loan risk,2025-01-03 09:00:22.160211+00:00,2025-01-03 09:00:22.160211+00:00,2025-01-03 09:17:40.056927+00:00,Applicant-000001
30,Check credit history,2025-01-03 09:01:19.587560+00:00,2025-01-03 09:01:19.587560+00:00,2025-01-03 09:03:22.093709+00:00,Clerk-000001
23,Reject application,2025-01-03 09:03:02.456836+00:00,2025-01-03 09:03:02.456835+00:00,2025-01-03 09:04:40.681808+00:00,Clerk-000004
30,Appraise property,2025-01-03 09:03:22.093709+00:00,2025-01-03 09:03:22.093709+00:00,2025-01-03 09:38:48.252963+00:00,Appraiser-000001
28,AML check,2025-01-03 09:05:19.342867+00:00,2025-01-03 09:05:19.342867+00:00,2025-01-03 09:17:21.665869+00:00,Clerk-000002
24,Check credit history,2025-01-03 09:07:23.760148+00:00,2025-01-03 09:07:23.760148+00:00,2025-01-03 09:23:25.283053+00:00,AML Investigator-000002
26,AML check,2025-01-03 09:11:37.401260+00:00,2025-01-03 09:11:37.401260+00:00,2025-01-03 09:22:38.399501+00:00,Loan Officer-000003
28,Assess loan risk,2025-01-03 09:17:21.665869+00:00,2025-01-03 09:17:21.665869+00:00,2025-01-03 09:32:11.368488+00:00,Clerk-000007
25,Design loan offer,2025-01-03 09:17:40.056927+00:00,2025-01-03 09:17:40.056927+00:00,2025-01-03 09:23:26.859677+00:00,Loan Officer-000001
29,Check credit history,2025-01-03 09:18:48.334433+00:00,2025-01-03 09:18:48.334433+00:00,2025-01-03 10:42:43.611757+00:00,Appraiser-000002
11,Assess loan risk,2025-01-03 09:19:06.975207+00:00,2025-01-03 09:19:06.975207+00:00,2025-01-03 09:22:55.612400+00:00,Clerk-000006
27,Assess loan risk,2025-01-03 09:21:02.586610+00:00,2025-01-03 09:21:02.586610+00:00,2025-01-03 09:34:06.386958+00:00,Clerk-000001
26,Assess loan risk,2025-01-03 09:22:38.399501+00:00,2025-01-03 09:22:38.399501+00:00,2025-01-03 09:39:45.070458+00:00,Clerk-000004
24,AML check,2025-01-03 09:23:25.283053+00:00,2025-01-03 09:23:25.283053+00:00,2025-01-03 09:23:48.644582+00:00,Clerk-000005
25,Approve loan offer,2025-01-03 09:23:26.859677+00:00,2025-01-03 09:23:26.859677+00:00,2025-01-03 09:24:30.541369+00:00,Senior Officer-000001
24,Assess loan risk,2025-01-03 09:23:48.644582+00:00,2025-01-03 09:23:48.644582+00:00,2025-01-03 09:38:16.029806+00:00,Loan Officer-000004
25,Cancel application,2025-01-03 09:24:30.541369+00:00,2025-01-03 09:24:30.541369+00:00,2025-01-03 09:28:53.134426+00:00,AML Investigator-000001
31,Check application form completeness,2025-01-03 09:30:00.009310+00:00,2025-01-03 09:30:00.009310+00:00,2025-01-03 09:55:35.247424+00:00,Clerk-000002
28,Design loan offer,2025-01-03 09:32:11.368488+00:00,2025-01-03 09:32:11.368488+00:00,2025-01-03 09:33:12.762073+00:00,Applicant-000001
28,Approve loan offer,2025-01-03 09:33:12.762073+00:00,2025-01-03 09:33:12.762073+00:00,2025-01-03 09:52:12.423202+00:00,Clerk-000008
30,Assess loan risk,2025-01-03 09:38:48.252963+00:00,2025-01-03 09:38:48.252963+00:00,2025-01-03 09:55:44.100719+00:00,Clerk-000003
26,Design loan offer,2025-01-03 09:39:45.070458+00:00,2025-01-03 09:39:45.070458+00:00,2025-01-03 09:40:09.672056+00:00,Loan Officer-000002
26,Approve loan offer,2025-01-03 09:40:09.672056+00:00,2025-01-03 09:40:09.672056+00:00,2025-01-03 09:55:03.149117+00:00,Loan Officer-000003
28,Approve application,2025-01-03 09:52:12.515551+00:00,2025-01-03 09:52:12.515551+00:00,2025-01-03 09:59:40.837809+00:00,Clerk-000006
